,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
0,,,,xml upload preparation,1450,
1,_1MB_image_resource_0,jpeg,1,bitstream upload,987,1
2,_1MB_image_resource_0,jpeg,1,resource creation,342,
3,_1MB_image_resource_0,jpeg,1,looping overhead,0,
4,_1MB_image_resource_1,jpeg,1,bitstream upload,888,1.1
5,_1MB_image_resource_1,jpeg,1,resource creation,228,
6,_1MB_image_resource_1,jpeg,1,looping overhead,0,
7,_1MB_image_resource_2,jpeg,1,bitstream upload,837,1.2
8,_1MB_image_resource_2,jpeg,1,resource creation,165,
9,_1MB_image_resource_2,jpeg,1,looping overhead,0,
10,_1MB_image_resource_3,jpeg,1,bitstream upload,675,1.5
11,_1MB_image_resource_3,jpeg,1,resource creation,240,
12,_1MB_image_resource_3,jpeg,1,looping overhead,0,
13,_1MB_image_resource_4,jpeg,1,bitstream upload,717,1.4
14,_1MB_image_resource_4,jpeg,1,resource creation,187,
15,_1MB_image_resource_4,jpeg,1,looping overhead,0,
16,_1MB_image_resource_5,jpeg,1,bitstream upload,666,1.5
17,_1MB_image_resource_5,jpeg,1,resource creation,158,
18,_1MB_image_resource_5,jpeg,1,looping overhead,0,
19,_1MB_image_resource_6,jpeg,1,bitstream upload,571,1.8
20,_1MB_image_resource_6,jpeg,1,resource creation,166,
21,_1MB_image_resource_6,jpeg,1,looping overhead,0,
22,_1MB_image_resource_7,jpeg,1,bitstream upload,605,1.7
23,_1MB_image_resource_7,jpeg,1,resource creation,192,
24,_1MB_image_resource_7,jpeg,1,looping overhead,0,
25,_1MB_image_resource_8,jpeg,1,bitstream upload,617,1.6
26,_1MB_image_resource_8,jpeg,1,resource creation,144,
27,_1MB_image_resource_8,jpeg,1,looping overhead,0,
28,_1MB_image_resource_9,jpeg,1,bitstream upload,550,1.8
29,_1MB_image_resource_9,jpeg,1,resource creation,149,
30,_1MB_image_resource_9,jpeg,1,looping overhead,0,
31,_1MB_image_resource_10,jpeg,1,bitstream upload,618,1.6
32,_1MB_image_resource_10,jpeg,1,resource creation,159,
33,_1MB_image_resource_10,jpeg,1,looping overhead,0,
34,_1MB_image_resource_11,jpeg,1,bitstream upload,579,1.7
35,_1MB_image_resource_11,jpeg,1,resource creation,166,
36,_1MB_image_resource_11,jpeg,1,looping overhead,0,
37,_1MB_image_resource_12,jpeg,1,bitstream upload,586,1.7
38,_1MB_image_resource_12,jpeg,1,resource creation,159,
39,_1MB_image_resource_12,jpeg,1,looping overhead,0,
40,_1MB_image_resource_13,jpeg,1,bitstream upload,618,1.6
41,_1MB_image_resource_13,jpeg,1,resource creation,167,
42,_1MB_image_resource_13,jpeg,1,looping overhead,0,
43,_1MB_image_resource_14,jpeg,1,bitstream upload,551,1.8
44,_1MB_image_resource_14,jpeg,1,resource creation,172,
45,_1MB_image_resource_14,jpeg,1,looping overhead,0,
46,_1MB_image_resource_15,jpeg,1,bitstream upload,649,1.5
47,_1MB_image_resource_15,jpeg,1,resource creation,167,
48,_1MB_image_resource_15,jpeg,1,looping overhead,0,
49,_1MB_image_resource_16,jpeg,1,bitstream upload,582,1.7
50,_1MB_image_resource_16,jpeg,1,resource creation,204,
51,_1MB_image_resource_16,jpeg,1,looping overhead,0,
52,_1MB_image_resource_17,jpeg,1,bitstream upload,573,1.7
53,_1MB_image_resource_17,jpeg,1,resource creation,151,
54,_1MB_image_resource_17,jpeg,1,looping overhead,0,
55,_1MB_image_resource_18,jpeg,1,bitstream upload,578,1.7
56,_1MB_image_resource_18,jpeg,1,resource creation,166,
57,_1MB_image_resource_18,jpeg,1,looping overhead,0,
58,_1MB_image_resource_19,jpeg,1,bitstream upload,565,1.8
59,_1MB_image_resource_19,jpeg,1,resource creation,173,
60,_1MB_image_resource_19,jpeg,1,looping overhead,0,
61,_1MB_image_resource_20,jpeg,1,bitstream upload,624,1.6
62,_1MB_image_resource_20,jpeg,1,resource creation,176,
63,_1MB_image_resource_20,jpeg,1,looping overhead,0,
64,_1MB_image_resource_21,jpeg,1,bitstream upload,616,1.6
65,_1MB_image_resource_21,jpeg,1,resource creation,193,
66,_1MB_image_resource_21,jpeg,1,looping overhead,0,
67,_1MB_image_resource_22,jpeg,1,bitstream upload,566,1.8
68,_1MB_image_resource_22,jpeg,1,resource creation,147,
69,_1MB_image_resource_22,jpeg,1,looping overhead,0,
70,_1MB_image_resource_23,jpeg,1,bitstream upload,590,1.7
71,_1MB_image_resource_23,jpeg,1,resource creation,157,
72,_1MB_image_resource_23,jpeg,1,looping overhead,0,
73,_1MB_image_resource_24,jpeg,1,bitstream upload,566,1.8
74,_1MB_image_resource_24,jpeg,1,resource creation,164,
75,_1MB_image_resource_24,jpeg,1,looping overhead,0,
76,_1MB_image_resource_25,jpeg,1,bitstream upload,564,1.8
77,_1MB_image_resource_25,jpeg,1,resource creation,158,
78,_1MB_image_resource_25,jpeg,1,looping overhead,0,
79,_1MB_image_resource_26,jpeg,1,bitstream upload,551,1.8
80,_1MB_image_resource_26,jpeg,1,resource creation,240,
81,_1MB_image_resource_26,jpeg,1,looping overhead,0,
82,_1MB_image_resource_27,jpeg,1,bitstream upload,562,1.8
83,_1MB_image_resource_27,jpeg,1,resource creation,159,
84,_1MB_image_resource_27,jpeg,1,looping overhead,0,
85,_1MB_image_resource_28,jpeg,1,bitstream upload,690,1.4
86,_1MB_image_resource_28,jpeg,1,resource creation,168,
87,_1MB_image_resource_28,jpeg,1,looping overhead,0,
88,_1MB_image_resource_29,jpeg,1,bitstream upload,561,1.8
89,_1MB_image_resource_29,jpeg,1,resource creation,184,
90,_1MB_image_resource_29,jpeg,1,looping overhead,0,
91,_1MB_image_resource_30,jpeg,1,bitstream upload,598,1.7
92,_1MB_image_resource_30,jpeg,1,resource creation,166,
93,_1MB_image_resource_30,jpeg,1,looping overhead,0,
94,_1MB_image_resource_31,jpeg,1,bitstream upload,595,1.7
95,_1MB_image_resource_31,jpeg,1,resource creation,245,
96,_1MB_image_resource_31,jpeg,1,looping overhead,0,
97,_1MB_image_resource_32,jpeg,1,bitstream upload,574,1.7
98,_1MB_image_resource_32,jpeg,1,resource creation,158,
99,_1MB_image_resource_32,jpeg,1,looping overhead,0,
100,_1MB_image_resource_33,jpeg,1,bitstream upload,631,1.6
101,_1MB_image_resource_33,jpeg,1,resource creation,163,
102,_1MB_image_resource_33,jpeg,1,looping overhead,0,
103,_1MB_image_resource_34,jpeg,1,bitstream upload,613,1.6
104,_1MB_image_resource_34,jpeg,1,resource creation,170,
105,_1MB_image_resource_34,jpeg,1,looping overhead,0,
106,_1MB_image_resource_35,jpeg,1,bitstream upload,561,1.8
107,_1MB_image_resource_35,jpeg,1,resource creation,207,
108,_1MB_image_resource_35,jpeg,1,looping overhead,0,
109,_1MB_image_resource_36,jpeg,1,bitstream upload,544,1.8
110,_1MB_image_resource_36,jpeg,1,resource creation,150,
111,_1MB_image_resource_36,jpeg,1,looping overhead,0,
112,_1MB_image_resource_37,jpeg,1,bitstream upload,564,1.8
113,_1MB_image_resource_37,jpeg,1,resource creation,181,
114,_1MB_image_resource_37,jpeg,1,looping overhead,0,
115,_1MB_image_resource_38,jpeg,1,bitstream upload,547,1.8
116,_1MB_image_resource_38,jpeg,1,resource creation,179,
117,_1MB_image_resource_38,jpeg,1,looping overhead,0,
118,_1MB_image_resource_39,jpeg,1,bitstream upload,543,1.8
119,_1MB_image_resource_39,jpeg,1,resource creation,172,
120,_1MB_image_resource_39,jpeg,1,looping overhead,0,
121,_1MB_image_resource_40,jpeg,1,bitstream upload,621,1.6
