,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
0,,,,xml upload preparation,1571,
1,_0.1.docx,docx,0.1,bitstream upload,206,0.5
2,_0.1.docx,docx,0.1,resource creation,165,
3,_0.1.docx,docx,0.1,looping overhead,0,
4,_0.1.jpeg,jpeg,0.1,bitstream upload,206,0.5
5,_0.1.jpeg,jpeg,0.1,resource creation,187,
6,_0.1.jpeg,jpeg,0.1,looping overhead,0,
7,_0.1.mp3,mp3,0.1,bitstream upload,138,0.8
8,_0.1.mp3,mp3,0.1,resource creation,163,
9,_0.1.mp3,mp3,0.1,looping overhead,0,
10,_0.1.mp4,mp4,0.1,bitstream upload,183,0.6
11,_0.1.mp4,mp4,0.1,resource creation,655,
12,_0.1.mp4,mp4,0.1,looping overhead,0,
13,_0.1.txt,txt,0.1,bitstream upload,133,0.8
14,_0.1.txt,txt,0.1,resource creation,193,
15,_0.1.txt,txt,0.1,looping overhead,0,
16,_0.1.zip,zip,0.1,bitstream upload,150,0.6
17,_0.1.zip,zip,0.1,resource creation,178,
18,_0.1.zip,zip,0.1,looping overhead,0,
19,_1.docx,docx,1,bitstream upload,604,1.7
20,_1.docx,docx,1,resource creation,186,
21,_1.docx,docx,1,looping overhead,0,
22,_1.jpeg,jpeg,1,bitstream upload,648,1.6
23,_1.jpeg,jpeg,1,resource creation,182,
24,_1.jpeg,jpeg,1,looping overhead,0,
25,_1.mp3,mp3,1,bitstream upload,622,1.6
26,_1.mp3,mp3,1,resource creation,246,
27,_1.mp3,mp3,1,looping overhead,0,
28,_1.mp4,mp4,1.1,bitstream upload,724,1.5
29,_1.mp4,mp4,1.1,resource creation,1870,
30,_1.mp4,mp4,1.1,looping overhead,0,
31,_1.txt,txt,1,bitstream upload,672,1.6
32,_1.txt,txt,1,resource creation,218,
33,_1.txt,txt,1,looping overhead,0,
34,_1.zip,zip,1,bitstream upload,733,1.4
35,_1.zip,zip,1,resource creation,174,
36,_1.zip,zip,1,looping overhead,0,
37,_10.docx,docx,10.1,bitstream upload,5496,1.8
38,_10.docx,docx,10.1,resource creation,178,
39,_10.docx,docx,10.1,looping overhead,0,
40,_10.jpeg,jpeg,10.1,bitstream upload,5335,1.9
41,_10.jpeg,jpeg,10.1,resource creation,171,
42,_10.jpeg,jpeg,10.1,looping overhead,0,
43,_10.mp3,mp3,10,bitstream upload,7305,1.4
44,_10.mp3,mp3,10,resource creation,205,
45,_10.mp3,mp3,10,looping overhead,0,
46,_10.mp4,mp4,10.5,bitstream upload,5963,1.8
47,_10.mp4,mp4,10.5,resource creation,2277,
48,_10.mp4,mp4,10.5,looping overhead,0,
49,_10.txt,txt,10,bitstream upload,5794,1.7
50,_10.txt,txt,10,resource creation,216,
51,_10.txt,txt,10,looping overhead,0,
52,_10.zip,zip,10.5,bitstream upload,6243,1.7
53,_10.zip,zip,10.5,resource creation,173,
54,_10.zip,zip,10.5,looping overhead,0,
55,_100.docx,docx,102.4,bitstream upload,74858,1.4
56,_100.docx,docx,102.4,resource creation,271,
57,_100.docx,docx,102.4,looping overhead,0,
58,_100.jpeg,jpeg,101.8,bitstream upload,58058,1.8
59,_100.jpeg,jpeg,101.8,resource creation,207,
60,_100.jpeg,jpeg,101.8,looping overhead,0,
61,_100.mp3,mp3,100.4,bitstream upload,66807,1.5
62,_100.mp3,mp3,100.4,resource creation,215,
63,_100.mp3,mp3,100.4,looping overhead,0,
64,_100.mp4,mp4,99.4,bitstream upload,60196,1.7
65,_100.mp4,mp4,99.4,resource creation,13917,
66,_100.mp4,mp4,99.4,looping overhead,0,
67,_100.txt,txt,100,bitstream upload,84457,1.2
68,_100.txt,txt,100,resource creation,237,
69,_100.txt,txt,100,looping overhead,0,
70,_100.zip,zip,102.1,bitstream upload,70546,1.5
71,_100.zip,zip,102.1,resource creation,201,
72,_100.zip,zip,102.1,looping overhead,0,
