,res_id,filetype,filesize_mb,event,duration_ms
181,resource_90,,0,resource creation,150
182,resource_90,,0,looping overhead,0
183,resource_91,,0,resource creation,150
184,resource_91,,0,looping overhead,0
185,resource_92,,0,resource creation,114
186,resource_92,,0,looping overhead,0
187,resource_93,,0,resource creation,142
188,resource_93,,0,looping overhead,0
189,resource_94,,0,resource creation,111
190,resource_94,,0,looping overhead,0
191,resource_95,,0,resource creation,143
192,resource_95,,0,looping overhead,0
193,resource_96,,0,resource creation,107
194,resource_96,,0,looping overhead,0
195,resource_97,,0,resource creation,114
196,resource_97,,0,looping overhead,0
197,resource_98,,0,resource creation,140
198,resource_98,,0,looping overhead,0
199,resource_99,,0,resource creation,167
200,resource_99,,0,looping overhead,0
201,resource_100,,0,resource creation,133
202,resource_100,,0,looping overhead,0
203,resource_101,,0,resource creation,108
204,resource_101,,0,looping overhead,0
205,resource_102,,0,resource creation,106
206,resource_102,,0,looping overhead,0
207,resource_103,,0,resource creation,129
208,resource_103,,0,looping overhead,0
209,resource_104,,0,resource creation,106
210,resource_104,,0,looping overhead,0
211,resource_105,,0,resource creation,138
212,resource_105,,0,looping overhead,0
213,resource_106,,0,resource creation,110
214,resource_106,,0,looping overhead,0
215,resource_107,,0,resource creation,122
216,resource_107,,0,looping overhead,0
217,resource_108,,0,resource creation,146
218,resource_108,,0,looping overhead,0
219,resource_109,,0,resource creation,104
220,resource_109,,0,looping overhead,0
221,resource_110,,0,resource creation,136
222,resource_110,,0,looping overhead,0
223,resource_111,,0,resource creation,105
224,resource_111,,0,looping overhead,0
225,resource_112,,0,resource creation,107
226,resource_112,,0,looping overhead,0
227,resource_113,,0,resource creation,128
228,resource_113,,0,looping overhead,0
229,resource_114,,0,resource creation,109
230,resource_114,,0,looping overhead,0
231,resource_115,,0,resource creation,137
232,resource_115,,0,looping overhead,0
233,resource_116,,0,resource creation,121
234,resource_116,,0,looping overhead,0
235,resource_117,,0,resource creation,125
236,resource_117,,0,looping overhead,0
237,resource_118,,0,resource creation,131
238,resource_118,,0,looping overhead,0
239,resource_119,,0,resource creation,108
240,resource_119,,0,looping overhead,0
241,resource_120,,0,resource creation,138
242,resource_120,,0,looping overhead,0
243,resource_121,,0,resource creation,108
244,resource_121,,0,looping overhead,0
245,resource_122,,0,resource creation,108
246,resource_122,,0,looping overhead,0
247,resource_123,,0,resource creation,136
248,resource_123,,0,looping overhead,0
249,resource_124,,0,resource creation,135
250,resource_124,,0,looping overhead,0
251,resource_125,,0,resource creation,163
252,resource_125,,0,looping overhead,0
253,resource_126,,0,resource creation,137
254,resource_126,,0,looping overhead,0
255,resource_127,,0,resource creation,157
256,resource_127,,0,looping overhead,0
257,resource_128,,0,resource creation,152
258,resource_128,,0,looping overhead,0
259,resource_129,,0,resource creation,111
260,resource_129,,0,looping overhead,0
261,resource_130,,0,resource creation,187
262,resource_130,,0,looping overhead,0
263,resource_131,,0,resource creation,126
264,resource_131,,0,looping overhead,0
265,resource_132,,0,resource creation,127
266,resource_132,,0,looping overhead,0
267,resource_133,,0,resource creation,132
268,resource_133,,0,looping overhead,0
269,resource_134,,0,resource creation,120
270,resource_134,,0,looping overhead,0
271,resource_135,,0,resource creation,159
272,resource_135,,0,looping overhead,0
273,resource_136,,0,resource creation,107
274,resource_136,,0,looping overhead,0
275,resource_137,,0,resource creation,106
276,resource_137,,0,looping overhead,0
277,resource_138,,0,resource creation,177
278,resource_138,,0,looping overhead,0
279,resource_139,,0,resource creation,107
280,resource_139,,0,looping overhead,0
281,resource_140,,0,resource creation,134
282,resource_140,,0,looping overhead,0
283,resource_141,,0,resource creation,109
284,resource_141,,0,looping overhead,0
285,resource_142,,0,resource creation,113
286,resource_142,,0,looping overhead,0
287,resource_143,,0,resource creation,136
288,resource_143,,0,looping overhead,0
289,resource_144,,0,resource creation,118
290,resource_144,,0,looping overhead,0
291,resource_145,,0,resource creation,139
292,resource_145,,0,looping overhead,0
293,resource_146,,0,resource creation,106
294,resource_146,,0,looping overhead,0
295,resource_147,,0,resource creation,106
296,resource_147,,0,looping overhead,0
297,resource_148,,0,resource creation,127
298,resource_148,,0,looping overhead,0
299,resource_149,,0,resource creation,101
300,resource_149,,0,looping overhead,0
301,resource_150,,0,resource creation,131
302,resource_150,,0,looping overhead,0
303,resource_151,,0,resource creation,104
304,resource_151,,0,looping overhead,0
305,resource_152,,0,resource creation,114
306,resource_152,,0,looping overhead,0
307,resource_153,,0,resource creation,136
308,resource_153,,0,looping overhead,0
309,resource_154,,0,resource creation,105
310,resource_154,,0,looping overhead,0
311,resource_155,,0,resource creation,141
312,resource_155,,0,looping overhead,0
313,resource_156,,0,resource creation,137
314,resource_156,,0,looping overhead,0
315,resource_157,,0,resource creation,122
316,resource_157,,0,looping overhead,0
317,resource_158,,0,resource creation,143
318,resource_158,,0,looping overhead,0
319,resource_159,,0,resource creation,115
320,resource_159,,0,looping overhead,0
321,resource_160,,0,resource creation,398
322,resource_160,,0,looping overhead,0
323,resource_161,,0,resource creation,346
324,resource_161,,0,looping overhead,0
325,resource_162,,0,resource creation,188
326,resource_162,,0,looping overhead,0
327,resource_163,,0,resource creation,303
328,resource_163,,0,looping overhead,0
329,resource_164,,0,resource creation,257
330,resource_164,,0,looping overhead,0
331,resource_165,,0,resource creation,173
332,resource_165,,0,looping overhead,0
333,resource_166,,0,resource creation,113
334,resource_166,,0,looping overhead,0
335,resource_167,,0,resource creation,115
336,resource_167,,0,looping overhead,0
337,resource_168,,0,resource creation,137
338,resource_168,,0,looping overhead,0
339,resource_169,,0,resource creation,112
340,resource_169,,0,looping overhead,0
341,resource_170,,0,resource creation,160
342,resource_170,,0,looping overhead,0
343,resource_171,,0,resource creation,160
344,resource_171,,0,looping overhead,0
345,resource_172,,0,resource creation,105
346,resource_172,,0,looping overhead,0
347,resource_173,,0,resource creation,135
348,resource_173,,0,looping overhead,0
349,resource_174,,0,resource creation,115
350,resource_174,,0,looping overhead,0
351,resource_175,,0,resource creation,129
352,resource_175,,0,looping overhead,0
353,resource_176,,0,resource creation,108
354,resource_176,,0,looping overhead,0
355,resource_177,,0,resource creation,104
356,resource_177,,0,looping overhead,0
357,resource_178,,0,resource creation,117
358,resource_178,,0,looping overhead,0
359,resource_179,,0,resource creation,112
360,resource_179,,0,looping overhead,0
361,resource_180,,0,resource creation,160
362,resource_180,,0,looping overhead,0
363,resource_181,,0,resource creation,105
364,resource_181,,0,looping overhead,0
365,resource_182,,0,resource creation,111
366,resource_182,,0,looping overhead,0
367,resource_183,,0,resource creation,121
368,resource_183,,0,looping overhead,0
369,resource_184,,0,resource creation,105
370,resource_184,,0,looping overhead,0
371,resource_185,,0,resource creation,167
372,resource_185,,0,looping overhead,0
373,resource_186,,0,resource creation,100
374,resource_186,,0,looping overhead,0
375,resource_187,,0,resource creation,109
376,resource_187,,0,looping overhead,0
377,resource_188,,0,resource creation,136
378,resource_188,,0,looping overhead,0
379,resource_189,,0,resource creation,114
380,resource_189,,0,looping overhead,0
381,resource_190,,0,resource creation,132
382,resource_190,,0,looping overhead,0
383,resource_191,,0,resource creation,106
384,resource_191,,0,looping overhead,0
385,resource_192,,0,resource creation,102
386,resource_192,,0,looping overhead,0
387,resource_193,,0,resource creation,134
388,resource_193,,0,looping overhead,0
389,resource_194,,0,resource creation,106
390,resource_194,,0,looping overhead,0
391,resource_195,,0,resource creation,130
392,resource_195,,0,looping overhead,0
393,resource_196,,0,resource creation,100
394,resource_196,,0,looping overhead,0
395,resource_197,,0,resource creation,108
396,resource_197,,0,looping overhead,0
397,resource_198,,0,resource creation,137
398,resource_198,,0,looping overhead,0
399,resource_199,,0,resource creation,101
400,resource_199,,0,looping overhead,0
401,resource_200,,0,resource creation,127
402,resource_200,,0,looping overhead,0
403,resource_201,,0,resource creation,105
404,resource_201,,0,looping overhead,0
405,resource_202,,0,resource creation,104
406,resource_202,,0,looping overhead,0
407,resource_203,,0,resource creation,122
408,resource_203,,0,looping overhead,0
409,resource_204,,0,resource creation,154
410,resource_204,,0,looping overhead,0
411,resource_205,,0,resource creation,133
412,resource_205,,0,looping overhead,0
413,resource_206,,0,resource creation,106
414,resource_206,,0,looping overhead,0
415,resource_207,,0,resource creation,111
416,resource_207,,0,looping overhead,0
417,resource_208,,0,resource creation,126
418,resource_208,,0,looping overhead,0
419,resource_209,,0,resource creation,96
