,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
89,_1MB_image_resource_29,jpeg,1,resource creation,194,
90,_1MB_image_resource_29,jpeg,1,looping overhead,0,
91,_1MB_image_resource_30,jpeg,1,bitstream upload,571,1.8
92,_1MB_image_resource_30,jpeg,1,resource creation,150,
93,_1MB_image_resource_30,jpeg,1,looping overhead,0,
94,_1MB_image_resource_31,jpeg,1,bitstream upload,621,1.7
95,_1MB_image_resource_31,jpeg,1,resource creation,166,
96,_1MB_image_resource_31,jpeg,1,looping overhead,0,
97,_1MB_image_resource_32,jpeg,1,bitstream upload,707,1.5
98,_1MB_image_resource_32,jpeg,1,resource creation,516,
99,_1MB_image_resource_32,jpeg,1,looping overhead,0,
100,_1MB_image_resource_33,jpeg,1,bitstream upload,1372,0.8
101,_1MB_image_resource_33,jpeg,1,resource creation,347,
102,_1MB_image_resource_33,jpeg,1,looping overhead,0,
103,_1MB_image_resource_34,jpeg,1,bitstream upload,782,1.3
104,_1MB_image_resource_34,jpeg,1,resource creation,187,
105,_1MB_image_resource_34,jpeg,1,looping overhead,0,
106,_1MB_image_resource_35,jpeg,1,bitstream upload,752,1.4
107,_1MB_image_resource_35,jpeg,1,resource creation,197,
108,_1MB_image_resource_35,jpeg,1,looping overhead,0,
109,_1MB_image_resource_36,jpeg,1,bitstream upload,583,1.8
110,_1MB_image_resource_36,jpeg,1,resource creation,158,
111,_1MB_image_resource_36,jpeg,1,looping overhead,0,
112,_1MB_image_resource_37,jpeg,1,bitstream upload,584,1.8
113,_1MB_image_resource_37,jpeg,1,resource creation,168,
114,_1MB_image_resource_37,jpeg,1,looping overhead,0,
115,_1MB_image_resource_38,jpeg,1,bitstream upload,630,1.7
116,_1MB_image_resource_38,jpeg,1,resource creation,212,
117,_1MB_image_resource_38,jpeg,1,looping overhead,0,
118,_1MB_image_resource_39,jpeg,1,bitstream upload,581,1.8
119,_1MB_image_resource_39,jpeg,1,resource creation,202,
120,_1MB_image_resource_39,jpeg,1,looping overhead,0,
121,_1MB_image_resource_40,jpeg,1,bitstream upload,604,1.7
122,_1MB_image_resource_40,jpeg,1,resource creation,167,
123,_1MB_image_resource_40,jpeg,1,looping overhead,0,
124,_1MB_image_resource_41,jpeg,1,bitstream upload,635,1.6
125,_1MB_image_resource_41,jpeg,1,resource creation,236,
126,_1MB_image_resource_41,jpeg,1,looping overhead,0,
127,_1MB_image_resource_42,jpeg,1,bitstream upload,1076,1
128,_1MB_image_resource_42,jpeg,1,resource creation,322,
129,_1MB_image_resource_42,jpeg,1,looping overhead,0,
130,_1MB_image_resource_43,jpeg,1,bitstream upload,914,1.1
131,_1MB_image_resource_43,jpeg,1,resource creation,162,
132,_1MB_image_resource_43,jpeg,1,looping overhead,0,
133,_1MB_image_resource_44,jpeg,1,bitstream upload,674,1.5
134,_1MB_image_resource_44,jpeg,1,resource creation,193,
135,_1MB_image_resource_44,jpeg,1,looping overhead,0,
136,_1MB_image_resource_45,jpeg,1,bitstream upload,616,1.7
137,_1MB_image_resource_45,jpeg,1,resource creation,199,
138,_1MB_image_resource_45,jpeg,1,looping overhead,0,
139,_1MB_image_resource_46,jpeg,1,bitstream upload,617,1.7
140,_1MB_image_resource_46,jpeg,1,resource creation,184,
141,_1MB_image_resource_46,jpeg,1,looping overhead,0,
142,_1MB_image_resource_47,jpeg,1,bitstream upload,765,1.4
143,_1MB_image_resource_47,jpeg,1,resource creation,186,
144,_1MB_image_resource_47,jpeg,1,looping overhead,0,
145,_1MB_image_resource_48,jpeg,1,bitstream upload,797,1.3
146,_1MB_image_resource_48,jpeg,1,resource creation,244,
147,_1MB_image_resource_48,jpeg,1,looping overhead,0,
148,_1MB_image_resource_49,jpeg,1,bitstream upload,816,1.3
149,_1MB_image_resource_49,jpeg,1,resource creation,198,
150,_1MB_image_resource_49,jpeg,1,looping overhead,0,
151,_1MB_image_resource_50,jpeg,1,bitstream upload,851,1.2
152,_1MB_image_resource_50,jpeg,1,resource creation,193,
153,_1MB_image_resource_50,jpeg,1,looping overhead,0,
154,_1MB_image_resource_51,jpeg,1,bitstream upload,612,1.7
155,_1MB_image_resource_51,jpeg,1,resource creation,240,
156,_1MB_image_resource_51,jpeg,1,looping overhead,0,
157,_1MB_image_resource_52,jpeg,1,bitstream upload,708,1.5
158,_1MB_image_resource_52,jpeg,1,resource creation,164,
159,_1MB_image_resource_52,jpeg,1,looping overhead,0,
160,_1MB_image_resource_53,jpeg,1,bitstream upload,705,1.5
161,_1MB_image_resource_53,jpeg,1,resource creation,176,
162,_1MB_image_resource_53,jpeg,1,looping overhead,0,
163,_1MB_image_resource_54,jpeg,1,bitstream upload,705,1.5
164,_1MB_image_resource_54,jpeg,1,resource creation,219,
165,_1MB_image_resource_54,jpeg,1,looping overhead,0,
166,_1MB_image_resource_55,jpeg,1,bitstream upload,771,1.3
167,_1MB_image_resource_55,jpeg,1,resource creation,170,
168,_1MB_image_resource_55,jpeg,1,looping overhead,0,
169,_1MB_image_resource_56,jpeg,1,bitstream upload,800,1.3
170,_1MB_image_resource_56,jpeg,1,resource creation,191,
171,_1MB_image_resource_56,jpeg,1,looping overhead,0,
172,_1MB_image_resource_57,jpeg,1,bitstream upload,764,1.4
173,_1MB_image_resource_57,jpeg,1,resource creation,230,
174,_1MB_image_resource_57,jpeg,1,looping overhead,0,
175,_1MB_image_resource_58,jpeg,1,bitstream upload,772,1.3
176,_1MB_image_resource_58,jpeg,1,resource creation,209,
177,_1MB_image_resource_58,jpeg,1,looping overhead,0,
178,_1MB_image_resource_59,jpeg,1,bitstream upload,995,1
179,_1MB_image_resource_59,jpeg,1,resource creation,224,
180,_1MB_image_resource_59,jpeg,1,looping overhead,0,
181,_1MB_image_resource_60,jpeg,1,bitstream upload,914,1.1
182,_1MB_image_resource_60,jpeg,1,resource creation,248,
183,_1MB_image_resource_60,jpeg,1,looping overhead,0,
184,_1MB_image_resource_61,jpeg,1,bitstream upload,905,1.1
185,_1MB_image_resource_61,jpeg,1,resource creation,219,
186,_1MB_image_resource_61,jpeg,1,looping overhead,0,
187,_1MB_image_resource_62,jpeg,1,bitstream upload,912,1.1
188,_1MB_image_resource_62,jpeg,1,resource creation,247,
189,_1MB_image_resource_62,jpeg,1,looping overhead,0,
190,_1MB_image_resource_63,jpeg,1,bitstream upload,871,1.2
191,_1MB_image_resource_63,jpeg,1,resource creation,229,
192,_1MB_image_resource_63,jpeg,1,looping overhead,0,
193,_1MB_image_resource_64,jpeg,1,bitstream upload,931,1.1
194,_1MB_image_resource_64,jpeg,1,resource creation,269,
195,_1MB_image_resource_64,jpeg,1,looping overhead,0,
196,_1MB_image_resource_65,jpeg,1,bitstream upload,873,1.2
197,_1MB_image_resource_65,jpeg,1,resource creation,260,
198,_1MB_image_resource_65,jpeg,1,looping overhead,0,
199,_1MB_image_resource_66,jpeg,1,bitstream upload,868,1.2
200,_1MB_image_resource_66,jpeg,1,resource creation,213,
201,_1MB_image_resource_66,jpeg,1,looping overhead,0,
202,_1MB_image_resource_67,jpeg,1,bitstream upload,894,1.2
203,_1MB_image_resource_67,jpeg,1,resource creation,228,
204,_1MB_image_resource_67,jpeg,1,looping overhead,0,
205,_1MB_image_resource_68,jpeg,1,bitstream upload,978,1.1
206,_1MB_image_resource_68,jpeg,1,resource creation,275,
207,_1MB_image_resource_68,jpeg,1,looping overhead,0,
208,_1MB_image_resource_69,jpeg,1,bitstream upload,1012,1
209,_1MB_image_resource_69,jpeg,1,resource creation,226,
210,_1MB_image_resource_69,jpeg,1,looping overhead,0,
211,_1MB_image_resource_70,jpeg,1,bitstream upload,1011,1
212,_1MB_image_resource_70,jpeg,1,resource creation,317,
213,_1MB_image_resource_70,jpeg,1,looping overhead,0,
214,_1MB_image_resource_71,jpeg,1,bitstream upload,1087,1
215,_1MB_image_resource_71,jpeg,1,resource creation,237,
216,_1MB_image_resource_71,jpeg,1,looping overhead,0,
217,_1MB_image_resource_72,jpeg,1,bitstream upload,1030,1
218,_1MB_image_resource_72,jpeg,1,resource creation,226,
219,_1MB_image_resource_72,jpeg,1,looping overhead,0,
220,_1MB_image_resource_73,jpeg,1,bitstream upload,1026,1
221,_1MB_image_resource_73,jpeg,1,resource creation,296,
222,_1MB_image_resource_73,jpeg,1,looping overhead,0,
223,_1MB_image_resource_74,jpeg,1,bitstream upload,952,1.1
224,_1MB_image_resource_74,jpeg,1,resource creation,225,
225,_1MB_image_resource_74,jpeg,1,looping overhead,0,
226,_1MB_image_resource_75,jpeg,1,bitstream upload,1001,1
227,_1MB_image_resource_75,jpeg,1,resource creation,279,
228,_1MB_image_resource_75,jpeg,1,looping overhead,0,
229,_1MB_image_resource_76,jpeg,1,bitstream upload,1050,1
230,_1MB_image_resource_76,jpeg,1,resource creation,231,
231,_1MB_image_resource_76,jpeg,1,looping overhead,0,
232,_1MB_image_resource_77,jpeg,1,bitstream upload,1025,1
233,_1MB_image_resource_77,jpeg,1,resource creation,245,
234,_1MB_image_resource_77,jpeg,1,looping overhead,0,
235,_1MB_image_resource_78,jpeg,1,bitstream upload,1020,1
236,_1MB_image_resource_78,jpeg,1,resource creation,286,
237,_1MB_image_resource_78,jpeg,1,looping overhead,0,
238,_1MB_image_resource_79,jpeg,1,bitstream upload,1081,1
239,_1MB_image_resource_79,jpeg,1,resource creation,230,
240,_1MB_image_resource_79,jpeg,1,looping overhead,0,
241,_1MB_image_resource_80,jpeg,1,bitstream upload,1226,0.8
242,_1MB_image_resource_80,jpeg,1,resource creation,260,
243,_1MB_image_resource_80,jpeg,1,looping overhead,0,
244,_1MB_image_resource_81,jpeg,1,bitstream upload,1125,0.9
245,_1MB_image_resource_81,jpeg,1,resource creation,255,
246,_1MB_image_resource_81,jpeg,1,looping overhead,0,
247,_1MB_image_resource_82,jpeg,1,bitstream upload,1157,0.9
248,_1MB_image_resource_82,jpeg,1,resource creation,241,
249,_1MB_image_resource_82,jpeg,1,looping overhead,0,
250,_1MB_image_resource_83,jpeg,1,bitstream upload,1035,1
251,_1MB_image_resource_83,jpeg,1,resource creation,297,
252,_1MB_image_resource_83,jpeg,1,looping overhead,0,
253,_1MB_image_resource_84,jpeg,1,bitstream upload,1052,1
254,_1MB_image_resource_84,jpeg,1,resource creation,227,
255,_1MB_image_resource_84,jpeg,1,looping overhead,0,
256,_1MB_image_resource_85,jpeg,1,bitstream upload,945,1.1
257,_1MB_image_resource_85,jpeg,1,resource creation,206,
258,_1MB_image_resource_85,jpeg,1,looping overhead,0,
259,_1MB_image_resource_86,jpeg,1,bitstream upload,876,1.2
260,_1MB_image_resource_86,jpeg,1,resource creation,262,
261,_1MB_image_resource_86,jpeg,1,looping overhead,0,
262,_1MB_image_resource_87,jpeg,1,bitstream upload,844,1.2
263,_1MB_image_resource_87,jpeg,1,resource creation,260,
264,_1MB_image_resource_87,jpeg,1,looping overhead,0,
265,_1MB_image_resource_88,jpeg,1,bitstream upload,963,1.1
266,_1MB_image_resource_88,jpeg,1,resource creation,265,
267,_1MB_image_resource_88,jpeg,1,looping overhead,0,
268,_1MB_image_resource_89,jpeg,1,bitstream upload,846,1.2
269,_1MB_image_resource_89,jpeg,1,resource creation,198,
270,_1MB_image_resource_89,jpeg,1,looping overhead,0,
271,_1MB_image_resource_90,jpeg,1,bitstream upload,813,1.3
272,_1MB_image_resource_90,jpeg,1,resource creation,192,
273,_1MB_image_resource_90,jpeg,1,looping overhead,0,
274,_1MB_image_resource_91,jpeg,1,bitstream upload,777,1.3
275,_1MB_image_resource_91,jpeg,1,resource creation,223,
276,_1MB_image_resource_91,jpeg,1,looping overhead,0,
277,_1MB_image_resource_92,jpeg,1,bitstream upload,799,1.3
278,_1MB_image_resource_92,jpeg,1,resource creation,200,
279,_1MB_image_resource_92,jpeg,1,looping overhead,0,
280,_1MB_image_resource_93,jpeg,1,bitstream upload,789,1.3
281,_1MB_image_resource_93,jpeg,1,resource creation,228,
282,_1MB_image_resource_93,jpeg,1,looping overhead,0,
283,_1MB_image_resource_94,jpeg,1,bitstream upload,734,1.4
284,_1MB_image_resource_94,jpeg,1,resource creation,181,
285,_1MB_image_resource_94,jpeg,1,looping overhead,0,
286,_1MB_image_resource_95,jpeg,1,bitstream upload,743,1.4
287,_1MB_image_resource_95,jpeg,1,resource creation,192,
288,_1MB_image_resource_95,jpeg,1,looping overhead,0,
289,_1MB_image_resource_96,jpeg,1,bitstream upload,706,1.5
290,_1MB_image_resource_96,jpeg,1,resource creation,214,
291,_1MB_image_resource_96,jpeg,1,looping overhead,0,
292,_1MB_image_resource_97,jpeg,1,bitstream upload,711,1.5
293,_1MB_image_resource_97,jpeg,1,resource creation,218,
294,_1MB_image_resource_97,jpeg,1,looping overhead,0,
295,_1MB_image_resource_98,jpeg,1,bitstream upload,702,1.5
296,_1MB_image_resource_98,jpeg,1,resource creation,228,
297,_1MB_image_resource_98,jpeg,1,looping overhead,0,
298,_1MB_image_resource_99,jpeg,1,bitstream upload,692,1.5
299,_1MB_image_resource_99,jpeg,1,resource creation,163,
300,_1MB_image_resource_99,jpeg,1,looping overhead,0,
301,_1MB_image_resource_100,jpeg,1,bitstream upload,712,1.5
302,_1MB_image_resource_100,jpeg,1,resource creation,176,
303,_1MB_image_resource_100,jpeg,1,looping overhead,0,
304,_1MB_image_resource_101,jpeg,1,bitstream upload,718,1.4
305,_1MB_image_resource_101,jpeg,1,resource creation,212,
306,_1MB_image_resource_101,jpeg,1,looping overhead,0,
307,_1MB_image_resource_102,jpeg,1,bitstream upload,808,1.3
308,_1MB_image_resource_102,jpeg,1,resource creation,301,
309,_1MB_image_resource_102,jpeg,1,looping overhead,0,
310,_1MB_image_resource_103,jpeg,1,bitstream upload,2276,0.5
311,_1MB_image_resource_103,jpeg,1,resource creation,220,
312,_1MB_image_resource_103,jpeg,1,looping overhead,0,
313,_1MB_image_resource_104,jpeg,1,bitstream upload,849,1.2
314,_1MB_image_resource_104,jpeg,1,resource creation,279,
315,_1MB_image_resource_104,jpeg,1,looping overhead,0,
316,_1MB_image_resource_105,jpeg,1,bitstream upload,1088,1
317,_1MB_image_resource_105,jpeg,1,resource creation,189,
318,_1MB_image_resource_105,jpeg,1,looping overhead,0,
319,_1MB_image_resource_106,jpeg,1,bitstream upload,803,1.3
320,_1MB_image_resource_106,jpeg,1,resource creation,231,
321,_1MB_image_resource_106,jpeg,1,looping overhead,0,
322,_1MB_image_resource_107,jpeg,1,bitstream upload,761,1.4
323,_1MB_image_resource_107,jpeg,1,resource creation,296,
324,_1MB_image_resource_107,jpeg,1,looping overhead,0,
325,_1MB_image_resource_108,jpeg,1,bitstream upload,841,1.2
326,_1MB_image_resource_108,jpeg,1,resource creation,749,
327,_1MB_image_resource_108,jpeg,1,looping overhead,0,
328,_1MB_image_resource_109,jpeg,1,bitstream upload,1067,1
329,_1MB_image_resource_109,jpeg,1,resource creation,394,
330,_1MB_image_resource_109,jpeg,1,looping overhead,0,
331,_1MB_image_resource_110,jpeg,1,bitstream upload,1019,1
332,_1MB_image_resource_110,jpeg,1,resource creation,235,
333,_1MB_image_resource_110,jpeg,1,looping overhead,0,
334,_1MB_image_resource_111,jpeg,1,bitstream upload,1891,0.6
335,_1MB_image_resource_111,jpeg,1,resource creation,423,
336,_1MB_image_resource_111,jpeg,1,looping overhead,0,
337,_1MB_image_resource_112,jpeg,1,bitstream upload,933,1.1
338,_1MB_image_resource_112,jpeg,1,resource creation,283,
339,_1MB_image_resource_112,jpeg,1,looping overhead,0,
340,_1MB_image_resource_113,jpeg,1,bitstream upload,1945,0.5
341,_1MB_image_resource_113,jpeg,1,resource creation,233,
342,_1MB_image_resource_113,jpeg,1,looping overhead,0,
343,_1MB_image_resource_114,jpeg,1,bitstream upload,928,1.1
344,_1MB_image_resource_114,jpeg,1,resource creation,315,
345,_1MB_image_resource_114,jpeg,1,looping overhead,0,
346,_1MB_image_resource_115,jpeg,1,bitstream upload,963,1.1
347,_1MB_image_resource_115,jpeg,1,resource creation,204,
348,_1MB_image_resource_115,jpeg,1,looping overhead,0,
349,_1MB_image_resource_116,jpeg,1,bitstream upload,854,1.2
350,_1MB_image_resource_116,jpeg,1,resource creation,201,
351,_1MB_image_resource_116,jpeg,1,looping overhead,0,
352,_1MB_image_resource_117,jpeg,1,bitstream upload,923,1.1
353,_1MB_image_resource_117,jpeg,1,resource creation,202,
354,_1MB_image_resource_117,jpeg,1,looping overhead,0,
355,_1MB_image_resource_118,jpeg,1,bitstream upload,837,1.2
356,_1MB_image_resource_118,jpeg,1,resource creation,201,
357,_1MB_image_resource_118,jpeg,1,looping overhead,0,
358,_1MB_image_resource_119,jpeg,1,bitstream upload,838,1.2
359,_1MB_image_resource_119,jpeg,1,resource creation,245,
360,_1MB_image_resource_119,jpeg,1,looping overhead,0,
361,_1MB_image_resource_120,jpeg,1,bitstream upload,1561,0.7
362,_1MB_image_resource_120,jpeg,1,resource creation,213,
363,_1MB_image_resource_120,jpeg,1,looping overhead,0,
364,_1MB_image_resource_121,jpeg,1,bitstream upload,885,1.2
365,_1MB_image_resource_121,jpeg,1,resource creation,198,
366,_1MB_image_resource_121,jpeg,1,looping overhead,0,
367,_1MB_image_resource_122,jpeg,1,bitstream upload,814,1.3
368,_1MB_image_resource_122,jpeg,1,resource creation,231,
369,_1MB_image_resource_122,jpeg,1,looping overhead,0,
370,_1MB_image_resource_123,jpeg,1,bitstream upload,786,1.3
371,_1MB_image_resource_123,jpeg,1,resource creation,201,
372,_1MB_image_resource_123,jpeg,1,looping overhead,0,
373,_1MB_image_resource_124,jpeg,1,bitstream upload,787,1.3
374,_1MB_image_resource_124,jpeg,1,resource creation,230,
375,_1MB_image_resource_124,jpeg,1,looping overhead,0,
376,_1MB_image_resource_125,jpeg,1,bitstream upload,767,1.4
377,_1MB_image_resource_125,jpeg,1,resource creation,180,
378,_1MB_image_resource_125,jpeg,1,looping overhead,0,
379,_1MB_image_resource_126,jpeg,1,bitstream upload,773,1.3
380,_1MB_image_resource_126,jpeg,1,resource creation,179,
381,_1MB_image_resource_126,jpeg,1,looping overhead,0,
382,_1MB_image_resource_127,jpeg,1,bitstream upload,715,1.5
383,_1MB_image_resource_127,jpeg,1,resource creation,212,
384,_1MB_image_resource_127,jpeg,1,looping overhead,0,
385,_1MB_image_resource_128,jpeg,1,bitstream upload,699,1.5
386,_1MB_image_resource_128,jpeg,1,resource creation,168,
387,_1MB_image_resource_128,jpeg,1,looping overhead,0,
388,_1MB_image_resource_129,jpeg,1,bitstream upload,708,1.5
389,_1MB_image_resource_129,jpeg,1,resource creation,212,
390,_1MB_image_resource_129,jpeg,1,looping overhead,0,
391,_1MB_image_resource_130,jpeg,1,bitstream upload,693,1.5
392,_1MB_image_resource_130,jpeg,1,resource creation,159,
393,_1MB_image_resource_130,jpeg,1,looping overhead,0,
394,_1MB_image_resource_131,jpeg,1,bitstream upload,737,1.4
395,_1MB_image_resource_131,jpeg,1,resource creation,187,
396,_1MB_image_resource_131,jpeg,1,looping overhead,0,
397,_1MB_image_resource_132,jpeg,1,bitstream upload,748,1.4
398,_1MB_image_resource_132,jpeg,1,resource creation,209,
399,_1MB_image_resource_132,jpeg,1,looping overhead,0,
400,_1MB_image_resource_133,jpeg,1,bitstream upload,682,1.5
401,_1MB_image_resource_133,jpeg,1,resource creation,167,
402,_1MB_image_resource_133,jpeg,1,looping overhead,0,
403,_1MB_image_resource_134,jpeg,1,bitstream upload,665,1.6
404,_1MB_image_resource_134,jpeg,1,resource creation,185,
405,_1MB_image_resource_134,jpeg,1,looping overhead,0,
406,_1MB_image_resource_135,jpeg,1,bitstream upload,701,1.5
407,_1MB_image_resource_135,jpeg,1,resource creation,163,
408,_1MB_image_resource_135,jpeg,1,looping overhead,0,
409,_1MB_image_resource_136,jpeg,1,bitstream upload,774,1.3
410,_1MB_image_resource_136,jpeg,1,resource creation,179,
411,_1MB_image_resource_136,jpeg,1,looping overhead,0,
412,_1MB_image_resource_137,jpeg,1,bitstream upload,766,1.4
413,_1MB_image_resource_137,jpeg,1,resource creation,218,
414,_1MB_image_resource_137,jpeg,1,looping overhead,0,
415,_1MB_image_resource_138,jpeg,1,bitstream upload,659,1.6
416,_1MB_image_resource_138,jpeg,1,resource creation,156,
417,_1MB_image_resource_138,jpeg,1,looping overhead,0,
418,_1MB_image_resource_139,jpeg,1,bitstream upload,661,1.6
419,_1MB_image_resource_139,jpeg,1,resource creation,165,
420,_1MB_image_resource_139,jpeg,1,looping overhead,0,
421,_1MB_image_resource_140,jpeg,1,bitstream upload,658,1.6
422,_1MB_image_resource_140,jpeg,1,resource creation,205,
423,_1MB_image_resource_140,jpeg,1,looping overhead,0,
424,_1MB_image_resource_141,jpeg,1,bitstream upload,660,1.6
425,_1MB_image_resource_141,jpeg,1,resource creation,175,
426,_1MB_image_resource_141,jpeg,1,looping overhead,0,
427,_1MB_image_resource_142,jpeg,1,bitstream upload,697,1.5
428,_1MB_image_resource_142,jpeg,1,resource creation,212,
429,_1MB_image_resource_142,jpeg,1,looping overhead,0,
430,_1MB_image_resource_143,jpeg,1,bitstream upload,694,1.5
431,_1MB_image_resource_143,jpeg,1,resource creation,160,
432,_1MB_image_resource_143,jpeg,1,looping overhead,0,
433,_1MB_image_resource_144,jpeg,1,bitstream upload,634,1.6
434,_1MB_image_resource_144,jpeg,1,resource creation,155,
435,_1MB_image_resource_144,jpeg,1,looping overhead,0,
436,_1MB_image_resource_145,jpeg,1,bitstream upload,659,1.6
437,_1MB_image_resource_145,jpeg,1,resource creation,204,
438,_1MB_image_resource_145,jpeg,1,looping overhead,0,
439,_1MB_image_resource_146,jpeg,1,bitstream upload,675,1.5
440,_1MB_image_resource_146,jpeg,1,resource creation,158,
441,_1MB_image_resource_146,jpeg,1,looping overhead,0,
442,_1MB_image_resource_147,jpeg,1,bitstream upload,645,1.6
443,_1MB_image_resource_147,jpeg,1,resource creation,216,
444,_1MB_image_resource_147,jpeg,1,looping overhead,0,
445,_1MB_image_resource_148,jpeg,1,bitstream upload,703,1.5
