,res_id,filetype,filesize_mb,event,duration_ms,mb_per_sec
0,,,,xml upload preparation,1599,
1,_0.1.docx,docx,0.1,bitstream upload,225,0.4
2,_0.1.docx,docx,0.1,resource creation,199,
3,_0.1.docx,docx,0.1,looping overhead,0,
4,_0.1.jpeg,jpeg,0.1,bitstream upload,198,0.5
5,_0.1.jpeg,jpeg,0.1,resource creation,187,
6,_0.1.jpeg,jpeg,0.1,looping overhead,0,
7,_0.1.mp3,mp3,0.1,bitstream upload,136,0.8
8,_0.1.mp3,mp3,0.1,resource creation,149,
9,_0.1.mp3,mp3,0.1,looping overhead,0,
10,_0.1.mp4,mp4,0.1,bitstream upload,516,0.2
11,_0.1.mp4,mp4,0.1,resource creation,793,
12,_0.1.mp4,mp4,0.1,looping overhead,0,
13,_0.1.txt,txt,0.1,bitstream upload,170,0.6
14,_0.1.txt,txt,0.1,resource creation,164,
15,_0.1.txt,txt,0.1,looping overhead,0,
16,_0.1.zip,zip,0.1,bitstream upload,122,0.8
17,_0.1.zip,zip,0.1,resource creation,195,
18,_0.1.zip,zip,0.1,looping overhead,0,
19,_1.docx,docx,1,bitstream upload,596,1.7
20,_1.docx,docx,1,resource creation,278,
21,_1.docx,docx,1,looping overhead,0,
22,_1.jpeg,jpeg,1,bitstream upload,592,1.8
23,_1.jpeg,jpeg,1,resource creation,147,
24,_1.jpeg,jpeg,1,looping overhead,0,
25,_1.mp3,mp3,1,bitstream upload,688,1.5
26,_1.mp3,mp3,1,resource creation,154,
27,_1.mp3,mp3,1,looping overhead,0,
28,_1.mp4,mp4,1.1,bitstream upload,744,1.4
29,_1.mp4,mp4,1.1,resource creation,1907,
30,_1.mp4,mp4,1.1,looping overhead,0,
31,_1.txt,txt,1,bitstream upload,735,1.4
32,_1.txt,txt,1,resource creation,167,
33,_1.txt,txt,1,looping overhead,0,
34,_1.zip,zip,1,bitstream upload,709,1.5
35,_1.zip,zip,1,resource creation,194,
36,_1.zip,zip,1,looping overhead,0,
37,_10.docx,docx,10.1,bitstream upload,6527,1.5
38,_10.docx,docx,10.1,resource creation,178,
39,_10.docx,docx,10.1,looping overhead,0,
40,_10.jpeg,jpeg,10.1,bitstream upload,6002,1.7
41,_10.jpeg,jpeg,10.1,resource creation,172,
42,_10.jpeg,jpeg,10.1,looping overhead,0,
43,_10.mp3,mp3,10,bitstream upload,6177,1.6
44,_10.mp3,mp3,10,resource creation,170,
45,_10.mp3,mp3,10,looping overhead,0,
46,_10.mp4,mp4,10.5,bitstream upload,7258,1.4
47,_10.mp4,mp4,10.5,resource creation,2389,
48,_10.mp4,mp4,10.5,looping overhead,0,
49,_10.txt,txt,10,bitstream upload,6612,1.5
50,_10.txt,txt,10,resource creation,182,
51,_10.txt,txt,10,looping overhead,0,
52,_10.zip,zip,10.5,bitstream upload,7183,1.5
53,_10.zip,zip,10.5,resource creation,158,
54,_10.zip,zip,10.5,looping overhead,0,
55,_100.docx,docx,102.4,bitstream upload,66891,1.5
56,_100.docx,docx,102.4,resource creation,156,
57,_100.docx,docx,102.4,looping overhead,0,
58,_100.jpeg,jpeg,101.8,bitstream upload,54450,1.9
59,_100.jpeg,jpeg,101.8,resource creation,206,
60,_100.jpeg,jpeg,101.8,looping overhead,0,
61,_100.mp3,mp3,100.4,bitstream upload,57289,1.8
62,_100.mp3,mp3,100.4,resource creation,180,
63,_100.mp3,mp3,100.4,looping overhead,0,
64,_100.mp4,mp4,99.4,bitstream upload,56536,1.8
65,_100.mp4,mp4,99.4,resource creation,11093,
66,_100.mp4,mp4,99.4,looping overhead,0,
67,_100.txt,txt,100,bitstream upload,67576,1.5
68,_100.txt,txt,100,resource creation,238,
69,_100.txt,txt,100,looping overhead,0,
70,_100.zip,zip,102.1,bitstream upload,61976,1.6
71,_100.zip,zip,102.1,resource creation,234,
72,_100.zip,zip,102.1,looping overhead,0,
