,res_id,filetype,filesize_mb,event,duration_microsec
0,,,,xml upload preparation,1769733
1,resource_0,,0,resource creation,138039
2,resource_0,,0,looping overhead,70
3,resource_1,,0,resource creation,155979
4,resource_1,,0,looping overhead,74
5,resource_2,,0,resource creation,128005
6,resource_2,,0,looping overhead,76
7,resource_3,,0,resource creation,112093
8,resource_3,,0,looping overhead,75
9,resource_4,,0,resource creation,114588
10,resource_4,,0,looping overhead,71
11,resource_5,,0,resource creation,122534
12,resource_5,,0,looping overhead,93
13,resource_6,,0,resource creation,123537
14,resource_6,,0,looping overhead,86
15,resource_7,,0,resource creation,147742
16,resource_7,,0,looping overhead,67
17,resource_8,,0,resource creation,112243
18,resource_8,,0,looping overhead,66
19,resource_9,,0,resource creation,137859
20,resource_9,,0,looping overhead,61
21,resource_10,,0,resource creation,110486
22,resource_10,,0,looping overhead,60
23,resource_11,,0,resource creation,106145
24,resource_11,,0,looping overhead,92
25,resource_12,,0,resource creation,121121
26,resource_12,,0,looping overhead,58
27,resource_13,,0,resource creation,110853
28,resource_13,,0,looping overhead,59
29,resource_14,,0,resource creation,127246
30,resource_14,,0,looping overhead,58
31,resource_15,,0,resource creation,110583
32,resource_15,,0,looping overhead,59
33,resource_16,,0,resource creation,122392
34,resource_16,,0,looping overhead,60
35,resource_17,,0,resource creation,123421
36,resource_17,,0,looping overhead,58
37,resource_18,,0,resource creation,116887
38,resource_18,,0,looping overhead,58
39,resource_19,,0,resource creation,124852
40,resource_19,,0,looping overhead,59
41,resource_20,,0,resource creation,105997
42,resource_20,,0,looping overhead,60
43,resource_21,,0,resource creation,126421
44,resource_21,,0,looping overhead,61
45,resource_22,,0,resource creation,108465
46,resource_22,,0,looping overhead,56
47,resource_23,,0,resource creation,110104
48,resource_23,,0,looping overhead,58
49,resource_24,,0,resource creation,126072
50,resource_24,,0,looping overhead,59
51,resource_25,,0,resource creation,111139
52,resource_25,,0,looping overhead,76
53,resource_26,,0,resource creation,125072
54,resource_26,,0,looping overhead,89
55,resource_27,,0,resource creation,110721
56,resource_27,,0,looping overhead,62
57,resource_28,,0,resource creation,111750
58,resource_28,,0,looping overhead,57
59,resource_29,,0,resource creation,111729
60,resource_29,,0,looping overhead,64
61,resource_30,,0,resource creation,109213
62,resource_30,,0,looping overhead,58
63,resource_31,,0,resource creation,123357
64,resource_31,,0,looping overhead,75
65,resource_32,,0,resource creation,104353
66,resource_32,,0,looping overhead,91
67,resource_33,,0,resource creation,130529
68,resource_33,,0,looping overhead,60
69,resource_34,,0,resource creation,141862
70,resource_34,,0,looping overhead,60
71,resource_35,,0,resource creation,107902
72,resource_35,,0,looping overhead,59
73,resource_36,,0,resource creation,132881
74,resource_36,,0,looping overhead,58
75,resource_37,,0,resource creation,113510
76,resource_37,,0,looping overhead,58
77,resource_38,,0,resource creation,128224
78,resource_38,,0,looping overhead,56
79,resource_39,,0,resource creation,108817
80,resource_39,,0,looping overhead,57
81,resource_40,,0,resource creation,116611
82,resource_40,,0,looping overhead,61
83,resource_41,,0,resource creation,110502
84,resource_41,,0,looping overhead,75
85,resource_42,,0,resource creation,104910
86,resource_42,,0,looping overhead,105
87,resource_43,,0,resource creation,160961
88,resource_43,,0,looping overhead,58
89,resource_44,,0,resource creation,102675
90,resource_44,,0,looping overhead,56
91,resource_45,,0,resource creation,132892
92,resource_45,,0,looping overhead,57
93,resource_46,,0,resource creation,106639
94,resource_46,,0,looping overhead,60
95,resource_47,,0,resource creation,107327
96,resource_47,,0,looping overhead,60
97,resource_48,,0,resource creation,130804
98,resource_48,,0,looping overhead,61
99,resource_49,,0,resource creation,112740
100,resource_49,,0,looping overhead,58
101,resource_50,,0,resource creation,131700
102,resource_50,,0,looping overhead,57
103,resource_51,,0,resource creation,108987
104,resource_51,,0,looping overhead,77
105,resource_52,,0,resource creation,114439
106,resource_52,,0,looping overhead,57
107,resource_53,,0,resource creation,126785
108,resource_53,,0,looping overhead,73
109,resource_54,,0,resource creation,128353
110,resource_54,,0,looping overhead,72
111,resource_55,,0,resource creation,131108
112,resource_55,,0,looping overhead,62
113,resource_56,,0,resource creation,110942
114,resource_56,,0,looping overhead,63
115,resource_57,,0,resource creation,142325
