,res_id,filetype,filesize_mb,event,duration_microsec
0,,,,xml upload preparation,1780242
1,resource_0,,0,resource creation,118302
2,resource_0,,0,looping overhead,111
3,resource_1,,0,resource creation,111986
4,resource_1,,0,looping overhead,135
5,resource_2,,0,resource creation,113299
6,resource_2,,0,looping overhead,146
7,resource_3,,0,resource creation,120297
8,resource_3,,0,looping overhead,116
9,resource_4,,0,resource creation,110997
10,resource_4,,0,looping overhead,93
11,resource_5,,0,resource creation,125388
12,resource_5,,0,looping overhead,91
13,resource_6,,0,resource creation,105766
14,resource_6,,0,looping overhead,88
15,resource_7,,0,resource creation,146498
16,resource_7,,0,looping overhead,90
17,resource_8,,0,resource creation,120883
18,resource_8,,0,looping overhead,117
19,resource_9,,0,resource creation,128903
20,resource_9,,0,looping overhead,164
21,resource_10,,0,resource creation,109061
22,resource_10,,0,looping overhead,95
23,resource_11,,0,resource creation,135079
24,resource_11,,0,looping overhead,95
25,resource_12,,0,resource creation,105203
26,resource_12,,0,looping overhead,89
27,resource_13,,0,resource creation,130560
28,resource_13,,0,looping overhead,86
29,resource_14,,0,resource creation,106797
30,resource_14,,0,looping overhead,89
31,resource_15,,0,resource creation,116427
32,resource_15,,0,looping overhead,93
33,resource_16,,0,resource creation,119893
34,resource_16,,0,looping overhead,99
35,resource_17,,0,resource creation,118629
36,resource_17,,0,looping overhead,100
37,resource_18,,0,resource creation,124215
38,resource_18,,0,looping overhead,139
39,resource_19,,0,resource creation,117223
40,resource_19,,0,looping overhead,98
41,resource_20,,0,resource creation,123667
42,resource_20,,0,looping overhead,92
43,resource_21,,0,resource creation,107402
44,resource_21,,0,looping overhead,108
45,resource_22,,0,resource creation,127276
46,resource_22,,0,looping overhead,134
47,resource_23,,0,resource creation,107961
48,resource_23,,0,looping overhead,90
49,resource_24,,0,resource creation,131126
50,resource_24,,0,looping overhead,86
51,resource_25,,0,resource creation,166820
52,resource_25,,0,looping overhead,98
53,resource_26,,0,resource creation,141610
54,resource_26,,0,looping overhead,97
55,resource_27,,0,resource creation,103089
56,resource_27,,0,looping overhead,95
57,resource_28,,0,resource creation,131111
58,resource_28,,0,looping overhead,113
59,resource_29,,0,resource creation,103433
60,resource_29,,0,looping overhead,105
61,resource_30,,0,resource creation,121498
62,resource_30,,0,looping overhead,142
63,resource_31,,0,resource creation,114215
64,resource_31,,0,looping overhead,113
65,resource_32,,0,resource creation,110214
66,resource_32,,0,looping overhead,137
67,resource_33,,0,resource creation,130186
68,resource_33,,0,looping overhead,89
69,resource_34,,0,resource creation,115049
70,resource_34,,0,looping overhead,93
71,resource_35,,0,resource creation,166108
72,resource_35,,0,looping overhead,117
73,resource_36,,0,resource creation,111125
74,resource_36,,0,looping overhead,143
75,resource_37,,0,resource creation,127396
76,resource_37,,0,looping overhead,99
77,resource_38,,0,resource creation,106101
78,resource_38,,0,looping overhead,120
79,resource_39,,0,resource creation,126692
80,resource_39,,0,looping overhead,103
81,resource_40,,0,resource creation,102637
82,resource_40,,0,looping overhead,105
83,resource_41,,0,resource creation,131518
84,resource_41,,0,looping overhead,109
85,resource_42,,0,resource creation,109908
86,resource_42,,0,looping overhead,159
87,resource_43,,0,resource creation,138061
88,resource_43,,0,looping overhead,94
89,resource_44,,0,resource creation,112195
90,resource_44,,0,looping overhead,91
91,resource_45,,0,resource creation,113159
92,resource_45,,0,looping overhead,91
93,resource_46,,0,resource creation,118533
94,resource_46,,0,looping overhead,96
95,resource_47,,0,resource creation,103645
96,resource_47,,0,looping overhead,96
97,resource_48,,0,resource creation,120940
98,resource_48,,0,looping overhead,95
99,resource_49,,0,resource creation,109437
100,resource_49,,0,looping overhead,93
101,resource_50,,0,resource creation,122459
102,resource_50,,0,looping overhead,93
103,resource_51,,0,resource creation,105612
104,resource_51,,0,looping overhead,93
105,resource_52,,0,resource creation,139173
106,resource_52,,0,looping overhead,94
107,resource_53,,0,resource creation,122101
108,resource_53,,0,looping overhead,93
109,resource_54,,0,resource creation,127993
110,resource_54,,0,looping overhead,97
111,resource_55,,0,resource creation,99975
112,resource_55,,0,looping overhead,94
113,resource_56,,0,resource creation,130960
114,resource_56,,0,looping overhead,92
115,resource_57,,0,resource creation,103927
116,resource_57,,0,looping overhead,92
117,resource_58,,0,resource creation,128720
118,resource_58,,0,looping overhead,91
119,resource_59,,0,resource creation,102253
120,resource_59,,0,looping overhead,97
121,resource_60,,0,resource creation,116915
122,resource_60,,0,looping overhead,93
123,resource_61,,0,resource creation,132331
124,resource_61,,0,looping overhead,112
125,resource_62,,0,resource creation,122370
126,resource_62,,0,looping overhead,127
127,resource_63,,0,resource creation,121310
128,resource_63,,0,looping overhead,111
129,resource_64,,0,resource creation,108261
130,resource_64,,0,looping overhead,95
131,resource_65,,0,resource creation,134687
132,resource_65,,0,looping overhead,92
133,resource_66,,0,resource creation,168813
134,resource_66,,0,looping overhead,140
135,resource_67,,0,resource creation,133509
136,resource_67,,0,looping overhead,102
137,resource_68,,0,resource creation,111482
138,resource_68,,0,looping overhead,110
139,resource_69,,0,resource creation,129526
140,resource_69,,0,looping overhead,90
141,resource_70,,0,resource creation,121646
142,resource_70,,0,looping overhead,136
143,resource_71,,0,resource creation,150074
144,resource_71,,0,looping overhead,118
145,resource_72,,0,resource creation,102971
146,resource_72,,0,looping overhead,96
147,resource_73,,0,resource creation,129882
148,resource_73,,0,looping overhead,96
149,resource_74,,0,resource creation,153987
150,resource_74,,0,looping overhead,107
151,resource_75,,0,resource creation,118546
152,resource_75,,0,looping overhead,135
153,resource_76,,0,resource creation,116607
154,resource_76,,0,looping overhead,105
155,resource_77,,0,resource creation,106706
156,resource_77,,0,looping overhead,122
157,resource_78,,0,resource creation,124687
158,resource_78,,0,looping overhead,85
159,resource_79,,0,resource creation,113760
160,resource_79,,0,looping overhead,91
161,resource_80,,0,resource creation,133495
162,resource_80,,0,looping overhead,89
163,resource_81,,0,resource creation,104496
164,resource_81,,0,looping overhead,99
165,resource_82,,0,resource creation,133470
166,resource_82,,0,looping overhead,95
167,resource_83,,0,resource creation,110344
168,resource_83,,0,looping overhead,113
169,resource_84,,0,resource creation,128644
170,resource_84,,0,looping overhead,142
171,resource_85,,0,resource creation,111206
172,resource_85,,0,looping overhead,163
173,resource_86,,0,resource creation,144558
174,resource_86,,0,looping overhead,168
175,resource_87,,0,resource creation,110358
176,resource_87,,0,looping overhead,100
177,resource_88,,0,resource creation,140575
178,resource_88,,0,looping overhead,101
179,resource_89,,0,resource creation,113000
180,resource_89,,0,looping overhead,105
181,resource_90,,0,resource creation,112626
182,resource_90,,0,looping overhead,97
183,resource_91,,0,resource creation,118401
184,resource_91,,0,looping overhead,140
185,resource_92,,0,resource creation,103323
186,resource_92,,0,looping overhead,101
187,resource_93,,0,resource creation,129698
188,resource_93,,0,looping overhead,116
189,resource_94,,0,resource creation,108419
190,resource_94,,0,looping overhead,119
191,resource_95,,0,resource creation,126299
192,resource_95,,0,looping overhead,132
193,resource_96,,0,resource creation,104632
194,resource_96,,0,looping overhead,90
195,resource_97,,0,resource creation,142094
196,resource_97,,0,looping overhead,95
197,resource_98,,0,resource creation,4269268
198,resource_98,,0,looping overhead,106
199,resource_99,,0,resource creation,157799
200,resource_99,,0,looping overhead,160
201,resource_100,,0,resource creation,110506
202,resource_100,,0,looping overhead,137
203,resource_101,,0,resource creation,146973
204,resource_101,,0,looping overhead,101
205,resource_102,,0,resource creation,114624
206,resource_102,,0,looping overhead,98
207,resource_103,,0,resource creation,133102
208,resource_103,,0,looping overhead,106
209,resource_104,,0,resource creation,103180
210,resource_104,,0,looping overhead,95
211,resource_105,,0,resource creation,116020
212,resource_105,,0,looping overhead,98
213,resource_106,,0,resource creation,174739
214,resource_106,,0,looping overhead,119
215,resource_107,,0,resource creation,122494
216,resource_107,,0,looping overhead,113
217,resource_108,,0,resource creation,142429
218,resource_108,,0,looping overhead,96
219,resource_109,,0,resource creation,113943
220,resource_109,,0,looping overhead,124
221,resource_110,,0,resource creation,131660
222,resource_110,,0,looping overhead,94
223,resource_111,,0,resource creation,114667
224,resource_111,,0,looping overhead,95
225,resource_112,,0,resource creation,133295
226,resource_112,,0,looping overhead,90
227,resource_113,,0,resource creation,107081
228,resource_113,,0,looping overhead,92
229,resource_114,,0,resource creation,180049
230,resource_114,,0,looping overhead,90
