,res_id,filetype,filesize_mb,event,duration_microsec
176,resource_87,,0,looping overhead,113
177,resource_88,,0,resource creation,161270
178,resource_88,,0,looping overhead,105
179,resource_89,,0,resource creation,141548
180,resource_89,,0,looping overhead,109
181,resource_90,,0,resource creation,157683
182,resource_90,,0,looping overhead,122
183,resource_91,,0,resource creation,108370
184,resource_91,,0,looping overhead,106
185,resource_92,,0,resource creation,149748
186,resource_92,,0,looping overhead,130
187,resource_93,,0,resource creation,125163
188,resource_93,,0,looping overhead,113
189,resource_94,,0,resource creation,136360
190,resource_94,,0,looping overhead,121
191,resource_95,,0,resource creation,155534
192,resource_95,,0,looping overhead,117
193,resource_96,,0,resource creation,125556
194,resource_96,,0,looping overhead,104
195,resource_97,,0,resource creation,156645
196,resource_97,,0,looping overhead,103
197,resource_98,,0,resource creation,131794
198,resource_98,,0,looping overhead,113
199,resource_99,,0,resource creation,139764
200,resource_99,,0,looping overhead,153
201,resource_100,,0,resource creation,113743
202,resource_100,,0,looping overhead,122
203,resource_101,,0,resource creation,137353
204,resource_101,,0,looping overhead,122
205,resource_102,,0,resource creation,148257
206,resource_102,,0,looping overhead,115
207,resource_103,,0,resource creation,115928
208,resource_103,,0,looping overhead,137
209,resource_104,,0,resource creation,151703
210,resource_104,,0,looping overhead,103
211,resource_105,,0,resource creation,127450
212,resource_105,,0,looping overhead,103
213,resource_106,,0,resource creation,149996
214,resource_106,,0,looping overhead,111
215,resource_107,,0,resource creation,134653
216,resource_107,,0,looping overhead,138
217,resource_108,,0,resource creation,136486
218,resource_108,,0,looping overhead,107
219,resource_109,,0,resource creation,153974
220,resource_109,,0,looping overhead,107
221,resource_110,,0,resource creation,170022
222,resource_110,,0,looping overhead,107
223,resource_111,,0,resource creation,158692
224,resource_111,,0,looping overhead,120
225,resource_112,,0,resource creation,122427
226,resource_112,,0,looping overhead,137
227,resource_113,,0,resource creation,154825
228,resource_113,,0,looping overhead,153
229,resource_114,,0,resource creation,127242
230,resource_114,,0,looping overhead,137
231,resource_115,,0,resource creation,163810
232,resource_115,,0,looping overhead,172
233,resource_116,,0,resource creation,219549
234,resource_116,,0,looping overhead,131
235,resource_117,,0,resource creation,123970
236,resource_117,,0,looping overhead,127
237,resource_118,,0,resource creation,153727
238,resource_118,,0,looping overhead,161
239,resource_119,,0,resource creation,193605
240,resource_119,,0,looping overhead,123
241,resource_120,,0,resource creation,189967
242,resource_120,,0,looping overhead,156
243,resource_121,,0,resource creation,157421
244,resource_121,,0,looping overhead,158
245,resource_122,,0,resource creation,215228
246,resource_122,,0,looping overhead,154
247,resource_123,,0,resource creation,202263
248,resource_123,,0,looping overhead,158
249,resource_124,,0,resource creation,137890
250,resource_124,,0,looping overhead,227
251,resource_125,,0,resource creation,165456
252,resource_125,,0,looping overhead,164
253,resource_126,,0,resource creation,142428
254,resource_126,,0,looping overhead,108
255,resource_127,,0,resource creation,163615
256,resource_127,,0,looping overhead,131
257,resource_128,,0,resource creation,156498
258,resource_128,,0,looping overhead,138
259,resource_129,,0,resource creation,141943
260,resource_129,,0,looping overhead,119
261,resource_130,,0,resource creation,152117
262,resource_130,,0,looping overhead,104
263,resource_131,,0,resource creation,135157
264,resource_131,,0,looping overhead,117
265,resource_132,,0,resource creation,155962
266,resource_132,,0,looping overhead,129
267,resource_133,,0,resource creation,129829
268,resource_133,,0,looping overhead,157
269,resource_134,,0,resource creation,159682
270,resource_134,,0,looping overhead,105
271,resource_135,,0,resource creation,131808
272,resource_135,,0,looping overhead,106
273,resource_136,,0,resource creation,140926
274,resource_136,,0,looping overhead,106
